filename;profit
j301_1;64,09
j301_10;21,09
j301_2;52,31
j301_4;99,18
j301_5;51,71
j301_6;33,89
j301_9;57,04
j3010_1;120,46
j3010_10;176,40
j3010_2;124,74
j3010_3;118,54
j3010_4;169,57
j3010_6;135,76
j3010_7;123,24
j3010_8;142,47
j3011_1;29,29
j3011_4;35,50
j3011_5;51,36
j3011_7;70,00
j3014_1;126,18
j3014_10;84,50
j3014_2;171,18
j3014_4;114,83
j3014_5;178,77
j3014_6;190,50
j3014_7;242,74
j3014_9;117,06
j3015_5;107,29
j3015_8;69,00
j3017_1;65,78
j3017_2;18,92
j3017_4;48,97
j3017_5;52,30
j3017_7;46,43
j3017_8;52,25
j3017_9;38,99
j3018_1;15,48
j3018_10;16,70
j3018_2;14,22
j3018_3;14,20
j3018_4;12,00
j3018_5;30,00
j3018_6;48,34
j3018_7;16,33
j3018_8;21,00
j3018_9;23,60
j3019_1;10,50
j3019_10;8,52
j3019_5;7,68
j3019_6;6,64
j3019_7;10,00
j302_1;11,33
j302_10;36,00
j302_2;27,52
j302_4;26,50
j302_8;23,74
j302_9;39,50
j3021_1;81,25
j3021_10;90,01
j3021_2;122,61
j3021_3;102,36
j3021_4;159,41
j3021_5;132,78
j3021_6;160,37
j3021_7;155,34
j3021_8;111,44
j3021_9;160,70
j3022_1;46,00
j3022_10;79,64
j3022_2;46,65
j3022_3;23,00
j3022_4;61,33
j3022_5;33,91
j3022_6;64,03
j3022_7;74,28
j3022_8;64,30
j3022_9;34,50
j3023_4;38,91
j3023_5;13,50
j3023_6;31,19
j3023_7;18,55
j3023_9;28,50
j3026_10;120,48
j3026_5;40,55
j3026_6;157,12
j3026_8;69,00
j3026_9;103,19
j3027_7;56,75
j303_10;12,72
j303_2;12,00
j303_5;18,06
j303_6;5,00
j303_9;8,96
j3030_1;132,59
j3030_10;203,56
j3030_2;181,99
j3030_3;128,50
j3030_4;150,45
j3030_5;185,66
j3030_6;159,28
j3030_7;210,31
j3030_8;91,62
j3030_9;208,38
j3031_10;65,03
j3031_5;44,53
j3031_9;67,06
j3033_1;44,88
j3033_2;26,46
j3033_3;39,95
j3033_4;94,00
j3033_5;55,72
j3033_6;28,11
j3033_8;56,02
j3033_9;74,11
j3034_1;19,76
j3034_2;6,50
j3034_3;5,00
j3034_5;19,16
j3034_6;14,00
j3034_7;18,48
j3034_8;16,00
j3035_10;2,16
j3035_4;10,33
j3035_6;5,23
j3035_7;6,50
j3035_9;7,84
j3037_1;164,19
j3037_10;69,88
j3037_2;129,33
j3037_3;152,14
j3037_4;118,53
j3037_5;113,42
j3037_6;93,98
j3037_8;141,74
j3037_9;87,00
j3038_1;42,00
j3038_10;38,50
j3038_2;42,76
j3038_3;53,78
j3038_4;58,98
j3038_5;41,54
j3038_7;61,69
j3038_8;21,51
j3038_9;38,98
j3039_10;21,50
j3039_3;8,82
j3039_6;36,13
j3039_7;13,16
j3039_9;23,05
j3042_2;66,70
j3042_3;130,38
j3042_4;86,14
j3042_6;77,33
j3042_7;58,33
j3042_8;85,23
j3042_9;159,00
j3043_1;37,89
j3043_10;40,50
j3043_3;57,41
j3043_5;53,70
j3043_6;19,01
j3043_9;21,50
j3046_1;106,12
j3046_10;134,88
j3046_2;136,08
j3046_3;152,50
j3046_4;105,89
j3046_5;202,50
j3046_6;109,60
j3046_8;184,61
j3046_9;159,94
j3047_10;65,08
j3047_4;68,50
j3047_5;38,33
j3047_6;53,63
j3047_7;48,32
j305_1;129,29
j305_10;95,94
j305_2;135,23
j305_4;189,11
j305_5;140,62
j305_6;171,74
j305_7;206,43
j305_8;149,42
j305_9;126,74
j306_1;81,10
j306_10;94,86
j306_2;84,62
j306_3;86,56
j306_4;84,16
j306_5;83,42
j306_6;93,84
j306_7;64,63
j306_9;56,31
j307_10;25,66
j307_3;25,73
j307_5;29,51
j307_8;15,18
j307_9;26,50
